="Regression Results"

="                    ",="(1)"
="                    ",="HGC"

="1                   ",=""
="teen_mom            ",="4.439**"
="                    ",="(1.822)"

="m_HGC               ",="1.864**"
="                    ",="(0.728)"

="f_HGC               ",="0.061"
="                    ",="(0.502)"

="phispanic           ",="-1.445**"
="                    ",="(0.632)"

="pblack              ",="-3.734***"
="                    ",="(1.267)"

="urban_at_14         ",="6.272***"
="                    ",="(1.771)"

="rural_at_14         ",="4.134**"
="                    ",="(1.713)"

="farm_at_14          ",="3.625"
="                    ",="(.)"

="age_stopped_living_w_parent",="0.497"
="                    ",="(0.345)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="3.342**"
="                    ",="(1.395)"

="reside_parent_type=2",="27.588"
="                    ",="(.)"

="reside_parent_type=3",="0.000"
="                    ",="(.)"

="mother_work_1978    ",="-1.284**"
="                    ",="(0.641)"

="father_work_1978    ",="-0.859"
="                    ",="(0.711)"

="cultural_influence  ",="-12.525***"
="                    ",="(2.519)"

="foreign_lang_child  ",="-13.723***"
="                    ",="(3.601)"

="#sibling            ",="-0.773***"
="                    ",="(0.155)"

="#sibling_school     ",="0.191"
="                    ",="(0.144)"

="Constant            ",="10.637"
="                    ",="(8.216)"

="2                   ",=""
="teen_mom            ",="-0.303"
="                    ",="(0.252)"

="m_HGC               ",="0.557***"
="                    ",="(0.085)"

="f_HGC               ",="-0.328***"
="                    ",="(0.071)"

="phispanic           ",="-0.430"
="                    ",="(0.266)"

="pblack              ",="0.134"
="                    ",="(0.250)"

="urban_at_14         ",="0.402"
="                    ",="(0.567)"

="rural_at_14         ",="0.238"
="                    ",="(0.568)"

="farm_at_14          ",="-1.438"
="                    ",="(.)"

="age_stopped_living_w_parent",="-0.077**"
="                    ",="(0.035)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="0.314"
="                    ",="(0.271)"

="reside_parent_type=2",="-0.181"
="                    ",="(0.328)"

="reside_parent_type=3",="6714824.145"
="                    ",="(.)"

="mother_work_1978    ",="-0.973***"
="                    ",="(0.135)"

="father_work_1978    ",="0.047"
="                    ",="(0.129)"

="cultural_influence  ",="3.979***"
="                    ",="(0.382)"

="foreign_lang_child  ",="0.380"
="                    ",="(0.306)"

="#sibling            ",="-0.054"
="                    ",="(0.034)"

="#sibling_school     ",="0.241***"
="                    ",="(0.061)"

="Constant            ",="3.702***"
="                    ",="(0.844)"

="3                   ",=""
="teen_mom            ",="-0.474***"
="                    ",="(0.141)"

="m_HGC               ",="0.387***"
="                    ",="(0.048)"

="f_HGC               ",="0.132***"
="                    ",="(0.042)"

="phispanic           ",="-0.141"
="                    ",="(0.167)"

="pblack              ",="0.225"
="                    ",="(0.153)"

="urban_at_14         ",="-0.697*"
="                    ",="(0.398)"

="rural_at_14         ",="-0.865**"
="                    ",="(0.409)"

="farm_at_14          ",="0.711"
="                    ",="(.)"

="age_stopped_living_w_parent",="-0.077***"
="                    ",="(0.019)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="1.637***"
="                    ",="(0.158)"

="reside_parent_type=2",="0.267"
="                    ",="(0.214)"

="reside_parent_type=3",="-3.629e+07"
="                    ",="(.)"

="mother_work_1978    ",="-0.124"
="                    ",="(0.075)"

="father_work_1978    ",="-0.331***"
="                    ",="(0.074)"

="cultural_influence  ",="1.692***"
="                    ",="(0.189)"

="foreign_lang_child  ",="-0.204"
="                    ",="(0.179)"

="#sibling            ",="-0.102***"
="                    ",="(0.025)"

="#sibling_school     ",="0.181***"
="                    ",="(0.037)"

="Constant            ",="2.068***"
="                    ",="(0.567)"

="4                   ",=""
="teen_mom            ",="-0.672***"
="                    ",="(0.103)"

="m_HGC               ",="0.281***"
="                    ",="(0.035)"

="f_HGC               ",="0.144***"
="                    ",="(0.030)"

="phispanic           ",="-0.111"
="                    ",="(0.125)"

="pblack              ",="0.249**"
="                    ",="(0.115)"

="urban_at_14         ",="-1.229"
="                    ",="(1.338)"

="rural_at_14         ",="-1.166"
="                    ",="(1.341)"

="farm_at_14          ",="-0.823"
="                    ",="(1.353)"

="age_stopped_living_w_parent",="-0.028**"
="                    ",="(0.013)"

="reside_parent_type=0",="0.000"
="                    ",="(.)"

="reside_parent_type=1",="1.421***"
="                    ",="(0.123)"

="reside_parent_type=2",="0.427***"
="                    ",="(0.153)"

="reside_parent_type=3",="33.817"
="                    ",="(.)"

="mother_work_1978    ",="-0.195***"
="                    ",="(0.052)"

="father_work_1978    ",="-0.234***"
="                    ",="(0.057)"

="cultural_influence  ",="1.541***"
="                    ",="(0.140)"

="foreign_lang_child  ",="-0.053"
="                    ",="(0.126)"

="#sibling            ",="-0.082***"
="                    ",="(0.020)"

="#sibling_school     ",="0.116***"
="                    ",="(0.031)"

="Constant            ",="1.441"
="                    ",="(1.362)"

="5                   ",=""
="teen_mom            ",="-0.612***"
="                    ",="(0.068)"

="m_HGC               ",="0.232***"
="                    ",="(0.023)"

="f_HGC               ",="0.185***"
="                    ",="(0.017)"

="phispanic           ",="0.332***"
="                    ",="(0.086)"

="pblack              ",="0.514***"
="                    ",="(0.074)"

="urban_at_14         ",="-0.501"
="                    ",="(0.454)"

="rural_at_14         ",="-0.413"
="                    ",="(0.457)"

